Frequency [Hz], FFT Amplitude [Vrms]
3898.437,  0.043
3906.250,  0.040
3914.062,  0.043
3921.875,  0.039
3929.687,  0.041
3937.500,  0.043
3945.312,  0.041
3953.125,  0.039
3960.937,  0.040
3968.750,  0.039
3976.562,  0.037
3984.375,  0.035
3992.187,  0.031
